,,SN neutrino arrival delay [s] 2022-06-14 20:00:00.100
tet Del,KM3,0.04077636852766688
tet Del,Baksan,0.046154045596713815
tet Del,KL,0.051028232428861994
tet Del,SK,0.05102846144899639
tet Del,HK,0.051033284143048
tet Del,PandaX-4T,0.05302211732956606
tet Del,JUNO,0.05329011752293832
V0365 Nor,NOvA,0.0527506535914896
V0365 Nor,MicroBooNe,0.05440124919832626
V0365 Nor,LZ,0.05440124919832626
V0365 Nor,SBND,0.05440124919832626
V0365 Nor,DUNE,0.05440124919832626
V0365 Nor,SNOP,0.05484594791558519
V0365 Nor,HALO-1kT,0.05484594791558519
V0365 Nor,KL,0.06123740734000386
V0365 Nor,SK,0.061237610004231786
V0365 Nor,HK,0.061254622907606776
V0365 Nor,LVD,0.07032254988451826
V0365 Nor,DS-20K,0.07032254988451826
V0365 Nor,Borexino,0.07032254988451826
V0365 Nor,XENONnT,0.07032254988451826
V0365 Nor,JUNO,0.070326123754827
V0365 Nor,PandaX-4T,0.07049432065473356
V0365 Nor,Baksan,0.07093248251707193
V0365 Nor,KM3,0.07265860914049208
V0365 Nor,IC,0.08792465439419477
CD-53 6474,NOvA,0.03417270689368296
CD-53 6474,MicroBooNe,0.0360090262946624
CD-53 6474,LZ,0.0360090262946624
CD-53 6474,SBND,0.0360090262946624
CD-53 6474,DUNE,0.0360090262946624
CD-53 6474,SNOP,0.03642505709931792
CD-53 6474,HALO-1kT,0.03642505709931792
CD-53 6474,KL,0.043590418641856324
CD-53 6474,SK,0.04359057564217374
CD-53 6474,HK,0.04360858537053228
CD-53 6474,LVD,0.05208551191339199
CD-53 6474,DS-20K,0.05208551191339199
CD-53 6474,Borexino,0.05208551191339199
CD-53 6474,XENONnT,0.05208551191339199
CD-53 6474,JUNO,0.05260408104275034
CD-53 6474,PandaX-4T,0.052670615099651305
CD-53 6474,Baksan,0.05275368915063842
CD-53 6474,KM3,0.05437090458116704
CD-53 6474,IC,0.0694202079488733
V0362 Nor,NOvA,0.04649578839485857
V0362 Nor,MicroBooNe,0.04829764854947458
V0362 Nor,LZ,0.04829764854947458
V0362 Nor,SBND,0.04829764854947458
V0362 Nor,DUNE,0.04829764854947458
V0362 Nor,SNOP,0.04856423062591164
V0362 Nor,HALO-1kT,0.04856423062591164
V0362 Nor,KL,0.05466416868508862
V0362 Nor,SK,0.0546642566431599
V0362 Nor,HK,0.05468242325694865
V0362 Nor,LVD,0.06316682035799577
V0362 Nor,DS-20K,0.06316682035799577
V0362 Nor,Borexino,0.06316682035799577
V0362 Nor,XENONnT,0.06316682035799577
V0362 Nor,PandaX-4T,0.06357380348004765
V0362 Nor,JUNO,0.06359564037577822
V0362 Nor,Baksan,0.06366045335719217
V0362 Nor,KM3,0.06550776469093199
V0362 Nor,IC,0.08214053070061847
CPD-53 7364,NOvA,0.0565140323761677
CPD-53 7364,MicroBooNe,0.05814140680853396
CPD-53 7364,LZ,0.05814140680853396
CPD-53 7364,SBND,0.05814140680853396
CPD-53 7364,DUNE,0.05814140680853396
CPD-53 7364,SNOP,0.058517748304022996
CPD-53 7364,HALO-1kT,0.058517748304022996
CPD-53 7364,KL,0.06524514034065149
CPD-53 7364,SK,0.06524529337908974
CPD-53 7364,HK,0.06526273135452328
CPD-53 7364,LVD,0.07372342482446732
CPD-53 7364,DS-20K,0.07372342482446732
CPD-53 7364,Borexino,0.07372342482446732
CPD-53 7364,XENONnT,0.07372342482446732
CPD-53 7364,JUNO,0.07425766896123595
CPD-53 7364,PandaX-4T,0.07432702731171226
CPD-53 7364,Baksan,0.07441198709332732
CPD-53 7364,KM3,0.07607768578840193
CPD-53 7364,IC,0.09213700818899358
NS Pup,PandaX-4T,0.05709975095667015
NS Pup,JUNO,0.0583424734891317
NS Pup,SK,0.060160745966145464
NS Pup,KL,0.06016188162748039
NS Pup,HK,0.060166453594594424
NS Pup,Baksan,0.06364857504908572
NS Pup,LVD,0.0704353740412119
NS Pup,DS-20K,0.0704353740412119
NS Pup,Borexino,0.0704353740412119
NS Pup,XENONnT,0.0704353740412119
NS Pup,KM3,0.07094568949899796
NS Pup,NOvA,0.0810965263812984
NS Pup,SNOP,0.08202424994437241
NS Pup,HALO-1kT,0.08202424994437241
NS Pup,SBND,0.08351742302569569
NS Pup,DUNE,0.08351742302569569
NS Pup,LZ,0.08351742302569569
NS Pup,MicroBooNe,0.08351742302569569
NS Pup,IC,0.09274056584294285
NSV 23546,NOvA,0.015237520026036335
NSV 23546,MicroBooNe,0.015603475764222711
NSV 23546,LZ,0.015603475764222711
NSV 23546,SBND,0.015603475764222711
NSV 23546,DUNE,0.015603475764222711
NSV 23546,SNOP,0.01743616229376082
NSV 23546,HALO-1kT,0.01743616229376082
NSV 23546,KL,0.03600421888019118
NSV 23546,SK,0.036004635172317855
NSV 23546,HK,0.03601805788435588
NSV 23546,LVD,0.03905853503600854
NSV 23546,DS-20K,0.03905853503600854
NSV 23546,Borexino,0.03905853503600854
NSV 23546,XENONnT,0.03905853503600854
NSV 23546,KM3,0.0409065433140749
NSV 23546,Baksan,0.0418192316815125
NSV 23546,JUNO,0.04366749793988965
NSV 23546,PandaX-4T,0.043905152272210805
NSV 23546,IC,0.04818179734889861
ASAS J170913-4111.6,NOvA,0.016866113678723142
ASAS J170913-4111.6,MicroBooNe,0.01801064377369479
ASAS J170913-4111.6,LZ,0.01801064377369479
ASAS J170913-4111.6,SBND,0.01801064377369479
ASAS J170913-4111.6,DUNE,0.01801064377369479
ASAS J170913-4111.6,SNOP,0.019435442447251445
ASAS J170913-4111.6,HALO-1kT,0.019435442447251445
ASAS J170913-4111.6,KL,0.03391818637061292
ASAS J170913-4111.6,SK,0.033918598317988435
ASAS J170913-4111.6,HK,0.03393313563892171
ASAS J170913-4111.6,LVD,0.03958650047057726
ASAS J170913-4111.6,DS-20K,0.03958650047057726
ASAS J170913-4111.6,Borexino,0.03958650047057726
ASAS J170913-4111.6,XENONnT,0.03958650047057726
ASAS J170913-4111.6,Baksan,0.04154803000866291
ASAS J170913-4111.6,KM3,0.04155607395633886
ASAS J170913-4111.6,JUNO,0.04218912764351033
ASAS J170913-4111.6,PandaX-4T,0.042498269184846074
ASAS J170913-4111.6,IC,0.05045855920198167
CD-44 11324,NOvA,0.04430830983280844
CD-44 11324,MicroBooNe,0.045355119088293
CD-44 11324,LZ,0.045355119088293
CD-44 11324,SBND,0.045355119088293
CD-44 11324,DUNE,0.045355119088293
CD-44 11324,SNOP,0.04628094535871545
CD-44 11324,HALO-1kT,0.04628094535871545
CD-44 11324,KL,0.05844937763456726
CD-44 11324,SK,0.0584497516194877
CD-44 11324,HK,0.058465708335356394
CD-44 11324,LVD,0.0651264611106949
CD-44 11324,DS-20K,0.0651264611106949
CD-44 11324,Borexino,0.0651264611106949
CD-44 11324,XENONnT,0.0651264611106949
CD-44 11324,Baksan,0.0670100415399273
CD-44 11324,KM3,0.06737935086699769
CD-44 11324,JUNO,0.06757325360911674
CD-44 11324,PandaX-4T,0.06785992766247764
CD-44 11324,IC,0.07909368227392292
V0915 Sco,NOvA,0.05232929743068746
V0915 Sco,MicroBooNe,0.053014050370769186
V0915 Sco,LZ,0.053014050370769186
V0915 Sco,SBND,0.053014050370769186
V0915 Sco,DUNE,0.053014050370769186
V0915 Sco,SNOP,0.05412167946933492
V0915 Sco,HALO-1kT,0.05412167946933492
V0915 Sco,KL,0.06809746906051961
V0915 Sco,SK,0.06809792638926997
V0915 Sco,HK,0.0681129597153276
V0915 Sco,LVD,0.07395623033434326
V0915 Sco,DS-20K,0.07395623033434326
V0915 Sco,Borexino,0.07395623033434326
V0915 Sco,XENONnT,0.07395623033434326
V0915 Sco,KM3,0.07617162522305101
V0915 Sco,Baksan,0.07634841550131258
V0915 Sco,JUNO,0.07721189120038836
V0915 Sco,PandaX-4T,0.07758971377833164
V0915 Sco,IC,0.086175906885923
V0663 Ser,MicroBooNe,0.039465609253610034
V0663 Ser,LZ,0.039465609253610034
V0663 Ser,SBND,0.039465609253610034
V0663 Ser,DUNE,0.039465609253610034
V0663 Ser,NOvA,0.04045849638038285
V0663 Ser,SNOP,0.041524331712730976
V0663 Ser,HALO-1kT,0.041524331712730976
V0663 Ser,KL,0.06232165757425444
V0663 Ser,SK,0.06232238929566975
V0663 Ser,HK,0.06233158759665041
V0663 Ser,LVD,0.0638343088300552
V0663 Ser,DS-20K,0.0638343088300552
V0663 Ser,Borexino,0.0638343088300552
V0663 Ser,XENONnT,0.0638343088300552
V0663 Ser,IC,0.06459619237751205
V0663 Ser,KM3,0.06543175494865443
V0663 Ser,Baksan,0.067911701471075
V0663 Ser,JUNO,0.06980384706723311
V0663 Ser,PandaX-4T,0.0704881733385456
V0540 Sgr,NOvA,0.050529976569836835
V0540 Sgr,MicroBooNe,0.0506483156758809
V0540 Sgr,LZ,0.0506483156758809
V0540 Sgr,SBND,0.0506483156758809
V0540 Sgr,DUNE,0.0506483156758809
V0540 Sgr,SNOP,0.05180283590008211
V0540 Sgr,HALO-1kT,0.05180283590008211
V0540 Sgr,KL,0.0707111688622463
V0540 Sgr,SK,0.07071154226260482
V0540 Sgr,HK,0.07072719913896225
V0540 Sgr,LVD,0.07244674858687195
V0540 Sgr,DS-20K,0.07244674858687195
V0540 Sgr,Borexino,0.07244674858687195
V0540 Sgr,XENONnT,0.07244674858687195
V0540 Sgr,KM3,0.07456861769197762
V0540 Sgr,Baksan,0.07599884179431192
V0540 Sgr,JUNO,0.07931892664085717
V0540 Sgr,PandaX-4T,0.0794023958900332
V0540 Sgr,IC,0.08432722137708479
NSV 9929,MicroBooNe,0.03419359464483805
NSV 9929,LZ,0.03419359464483805
NSV 9929,SBND,0.03419359464483805
NSV 9929,DUNE,0.03419359464483805
NSV 9929,NOvA,0.03436335784526423
NSV 9929,SNOP,0.035783160296823796
NSV 9929,HALO-1kT,0.035783160296823796
NSV 9929,KL,0.05562059724452275
NSV 9929,SK,0.0556210934645705
NSV 9929,HK,0.055634597507880634
NSV 9929,LVD,0.05768150880970071
NSV 9929,DS-20K,0.05768150880970071
NSV 9929,Borexino,0.05768150880970071
NSV 9929,XENONnT,0.05768150880970071
NSV 9929,KM3,0.05962510002087365
NSV 9929,Baksan,0.06124272014864323
NSV 9929,JUNO,0.06381024550224096
NSV 9929,PandaX-4T,0.06410883805185931
NSV 9929,IC,0.06602392528726767
NSV 24050,MicroBooNe,0.05097271602285204
NSV 24050,LZ,0.05097271602285204
NSV 24050,SBND,0.05097271602285204
NSV 24050,DUNE,0.05097271602285204
NSV 24050,NOvA,0.051405023259808516
NSV 24050,SNOP,0.05267680453925164
NSV 24050,HALO-1kT,0.05267680453925164
NSV 24050,KL,0.07213984780678281
NSV 24050,SK,0.07214050249566574
NSV 24050,HK,0.0721522238555582
NSV 24050,LVD,0.07476035971213331
NSV 24050,DS-20K,0.07476035971213331
NSV 24050,Borexino,0.07476035971213331
NSV 24050,XENONnT,0.07476035971213331
NSV 24050,KM3,0.07664109295336755
NSV 24050,Baksan,0.07855774630322541
NSV 24050,IC,0.07987042503381328
NSV 24050,JUNO,0.08047885773736956
NSV 24050,PandaX-4T,0.08105024338194848
ASAS J181343-1914.5,MicroBooNe,0.02136944369258587
ASAS J181343-1914.5,LZ,0.02136944369258587
ASAS J181343-1914.5,SBND,0.02136944369258587
